策略-参数1,策略-参数2,策略-参数3,标的,开始时间,结束时间,保证金,使用金额,起始金额,结束金额,最大回撤,盈亏比,胜率,收益率
MA,5,15,DCE.c2501,2024-01-15,2025-01-15,1072.5,44757.31195390541,10000000.0,9995780.0,104.329398493952,2.403030303030304,0.2352941176470588,-9.428627001429591
MA,10,30,DCE.c2501,2024-01-15,2025-01-15,1072.5,46741.55651221202,10000000.0,9997372.0,108.95467718464344,1.5544041450777202,0.3333333333333333,-5.622405833475808
MA,20,40,DCE.c2501,2024-01-15,2025-01-15,1072.5,22440.258398139023,10000000.0,10017192.0,52.3082946343567,3.090909090909091,0.5,76.61230853485064
MA,20,60,DCE.c2501,2024-01-15,2025-01-15,1072.5,30038.423750508337,10000000.0,10007940.0,70.01963578207071,0.0,0.0,26.432811741214056
EMA,5,15,DCE.c2501,2024-01-15,2025-01-15,1072.5,56766.62848116293,10000000.0,9993860.0,132.3231433127341,3.267123287671233,0.1818181818181818,-10.8162139698634
EMA,10,30,DCE.c2501,2024-01-15,2025-01-15,1072.5,49987.56905966932,10000000.0,9987652.0,116.52113999922918,1.5102389078498293,0.2857142857142857,-24.70214141691988
EMA,20,40,DCE.c2501,2024-01-15,2025-01-15,1072.5,27723.79489827813,10000000.0,10021316.0,64.62423053211687,1.0,0.3333333333333333,76.88702098039217
EMA,20,60,DCE.c2501,2024-01-15,2025-01-15,1072.5,21450.0,10000000.0,10025164.0,42.3219756023968,inf,1.0,117.31468531468532
VWMA,5,15,DCE.c2501,2024-01-15,2025-01-15,1072.5,40362.39769919935,10000000.0,9997380.0,94.0848431216768,3.616666666666666,0.1764705882352941,-6.491190190249703
VWMA,10,30,DCE.c2501,2024-01-15,2025-01-15,1072.5,48756.1934515292,10000000.0,9989148.0,113.65080058631514,0.8011444921316168,0.3,-22.25768508935891
VWMA,20,40,DCE.c2501,2024-01-15,2025-01-15,1072.5,28599.837873021832,10000000.0,10007992.0,66.66628874830263,3.939130434782609,0.25,27.94421435353253
VWMA,20,60,DCE.c2501,2024-01-15,2025-01-15,1072.5,21450.0,10000000.0,10018964.0,42.34816817493298,0.0,0.0,88.41025641025641
MA+kσ,5,15,DCE.c2501,2024-01-15,2025-01-15,1072.5,47958.465856987634,10000000.0,9994180.0,111.79129570393388,3.186991869918699,0.1764705882352941,-12.135500783855903
MA+kσ,10,30,DCE.c2501,2024-01-15,2025-01-15,1072.5,56723.13811033405,10000000.0,9990320.0,132.22176715695585,1.4317180616740088,0.2857142857142857,-17.065346386815044
MA+kσ,20,40,DCE.c2501,2024-01-15,2025-01-15,1072.5,21640.23548350852,10000000.0,10014492.0,50.44343935549771,7.023529411764707,0.25,66.96784797487065
MA+kσ,20,60,DCE.c2501,2024-01-15,2025-01-15,1072.5,29838.189203389928,10000000.0,10007240.0,69.5528885859905,0.0,0.0,24.264207022246044
MA,5,15,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10000000.0,0.0,inf,0.0,0.0
MA,10,30,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10000000.0,0.0,inf,0.0,0.0
MA,20,40,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10000000.0,0.0,inf,0.0,0.0
MA,20,60,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10000000.0,0.0,inf,0.0,0.0
EMA,5,15,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10002764.0,29.10751349107514,0.0,0.0,11.473640514736406
EMA,10,30,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10002764.0,29.10751349107514,0.0,0.0,11.473640514736406
EMA,20,40,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10002764.0,29.10751349107514,0.0,0.0,11.473640514736406
EMA,20,60,DCE.c1601,2015-01-15,2016-01-15,1204.5,24090.0,10000000.0,10002764.0,29.10751349107514,0.0,0.0,11.473640514736406
